,Non-Robust RL,Momentum,Robust RL ($\ell_p$-Ball),Robust RL ($\ell_p$-Ellipse),MSFT
2022-08-18,102727.98684770112,101627.64018390268,96332.32084257438,105783.98940945088,95105.2818709754
2022-08-19,99430.96176062629,101764.97583747075,95162.4380852974,102557.55977978083,98321.02081934185
2022-08-22,96690.34871212133,103240.9677776517,91755.21657363907,100450.64618394546,98447.4380752973
2022-08-23,96579.40500314246,103240.9677776517,91582.2629184113,100294.4457684488,97495.35811638291
2022-08-24,96252.03356654788,103240.9677776517,92311.34399523314,101147.54234790776,92537.43135938059
2022-08-25,93857.66717368204,103240.9677776517,94667.42875322554,104436.12913351669,90566.11227432547
2022-08-26,94616.186719347,107665.92141162106,96607.57989053718,105452.64912089628,89049.10520286021
2022-08-29,95106.20986324316,107853.31841786964,98164.80517694079,106160.49613688476,89183.42353731288
2022-08-30,95096.27011817844,108251.11617505483,98084.43270940709,106108.41765418884,92537.4313593806
2022-08-31,92161.61614642278,108251.11617505483,99820.07940595035,105697.80457800331,90293.52506617157
2022-09-01,91176.68729499738,106637.30571774273,98844.53358655587,107424.08236514697,93837.15877217244
2022-09-02,91230.02235706276,107707.76286680564,95864.15939170338,103942.53196931447,94220.36107928735
2022-09-06,90892.06374948533,105773.93649780267,95432.58602732225,103553.19149619837,93422.35215106864
2022-09-07,91171.57594721814,105608.93415845532,96217.48558700358,104295.92871271772,93291.98435586461
2022-09-08,91047.58408371573,105608.93415845532,96184.00642593626,104333.8821690178,95650.45628728323
2022-09-09,90326.56000040061,106192.85226287357,93955.3258153263,102407.21896569875,97677.08292181886
2022-09-12,89866.07240848252,106272.84200114543,94225.09120571826,100518.6888805444,99024.216805594
2022-09-13,90512.77870133877,108332.5719983824,94108.12995898638,99307.80672207507,91383.87389878722
2022-09-14,88067.92036022487,108332.5719983824,94401.28402705831,106680.90790184091,89578.47746217361
2022-09-15,88608.1502901789,108646.45085335296,95582.83005202678,108262.04022319402,93181.3692569036
2022-09-16,88868.26483006276,108340.87275946986,91644.96886552068,107517.52917108782,91703.86757792441
2022-09-19,89014.26195278765,108340.87275946986,92889.59630768385,107754.59348773732,90139.45403547586
2022-09-20,89053.89405090979,108340.87275946986,93909.84030132568,108969.41328663038,86951.36886184967
2022-09-21,87944.90869932089,108340.87275946986,96967.85775235732,111380.20873651883,84640.30340141432
2022-09-22,89827.04699421683,106837.14389041983,99002.51748137006,112592.84730843556,87460.98842492003
2022-09-23,91812.18170133863,106386.90626954594,96024.11743255207,110913.54456072583,90020.93785801766
2022-09-26,89038.83519951285,105578.71406226282,93442.5468725237,111456.68820399056,90415.99178287841
2022-09-27,88797.58905805534,105116.51485311422,93131.14505724609,111492.17636818902,88693.55667048556
